LAND_SF,YR_BUILT,NUM_FLOORS,NUM_PARK,NUM_RMS,NUM_BDRMS,NUM_FULL_BTH,NUM_HALF_BTH,ZIP_CODE,AV_TOTAL
537.0,1880.0,1.0,0.0,3.0,1.0,1.0,0.0,2116.0,495300
8102.0,1910.0,2.0,0.0,9.0,4.0,1.0,1.0,2132.0,825300
6341.0,1900.0,2.0,0.0,9.0,3.0,1.0,1.0,2135.0,529900
805.0,1899.0,1.0,0.0,4.0,2.0,1.0,0.0,2115.0,674300
11901.0,1935.0,2.0,0.0,6.0,3.0,1.0,1.0,2124.0,451600
3465.0,1999.0,2.5,0.0,12.0,6.0,2.0,0.0,2130.0,1058100
1356.0,1989.0,2.0,0.0,5.0,2.0,1.0,0.0,2129.0,305700
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.0,56000
4000.0,1930.0,1.0,0.0,6.0,2.0,1.0,0.0,2132.0,406400
2040.0,1920.0,2.0,0.0,0.0,0.0,0.0,0.0,2130.0,431000
4386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136.0,389646
9940.0,1987.0,2.0,0.0,8.0,4.0,3.0,0.0,2122.0,520000
4762.0,1905.0,2.5,0.0,13.0,7.0,2.0,0.0,2134.0,1008900
776072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2126.0,4120900
6725.0,1899.0,2.0,0.0,8.0,3.0,1.0,1.0,2131.0,555400
4574.0,1929.0,2.0,0.0,11.0,4.0,2.0,0.0,2124.0,565400
4050.0,1940.0,1.5,0.0,9.0,3.0,1.0,0.0,2128.0,477300
822.0,2004.0,1.0,0.0,4.0,2.0,1.0,0.0,2128.0,296900
4902.0,1899.0,3.5,0.0,0.0,0.0,0.0,0.0,2108.0,5267000
885.0,1900.0,1.0,0.0,4.0,2.0,1.0,0.0,2115.0,416700
940.0,1925.0,1.0,0.0,5.0,3.0,1.0,0.0,2135.0,390600
746.0,1890.0,1.0,0.0,3.0,1.0,1.0,0.0,2116.0,643700
